freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FC_E,C0350-0370,KTOE,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 
A,FC_E,C0350-0370,KTOE,HR	1.591 	0.903 	0.236 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,HU	81.750 	45.980 	55.857 	32.158 	41.638 	31.857 	31.449 	21.733 	35.447 	10.447 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,IT	165.203 	280.298 	209.348 	234.704 	159.152 	131.622 	109.389 	95.212 	97.507 	88.048 	60.769 	104.592 
A,FC_E,C0350-0370,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,NL	197.876 	203.951 	215.973 	220.664 	238.106 	212.985 	177.085 	191.520 	219.067 	296.335 	267.183 	299.123 
A,FC_E,C0350-0370,KTOE,NO	69.265 	70.173 	60.906 	51.209 	61.431 	66.519 	53.445 	51.941 	57.915 	66.741 	66.266 	: 
A,FC_E,C0350-0370,KTOE,PL	542.383 	595.765 	486.914 	462.377 	499.879 	469.239 	451.465 	392.970 	438.969 	377.550 	334.215 	346.011 
